filename,label,path,extension,size_bytes,sha256,is_open,can_read_first,corrupted,fps,reported_frame_count,actual_frames_read,width,height,aspect_ratio,fourcc,duration_sec
L (1).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (1).mp4,.mp4,418998,d69aee866ffbcb10b890089dbcb07dd60b303d21983981ae94f672546c7c3fc9,True,True,False,29.97,120,120,500,500,500:500,h264,4.0
L (10).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (10).mp4,.mp4,683578,c24bb82e8f7d5142289c2141b56ab21a68d0701b3f7190935591ea6760ef4b6f,True,True,False,29.97,125,125,500,500,500:500,h264,4.17
L (11).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (11).mp4,.mp4,1696745,7b00e28a18cb1485dfb9278ed7000d381030d1ca5e1fbc7b6662b407c9f54245,True,True,False,29.92,303,303,500,500,500:500,h264,10.13
L (12).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (12).mp4,.mp4,1527998,bcb6ea2a6309196aa283d7eb46b1a376d53b188fb43b43b994d2baee635626c7,True,True,False,60.0,479,479,500,500,500:500,h264,7.98
L (13).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (13).mp4,.mp4,874978,97ac0f5c5eeb93f3047a5262aab32b46ef8c6e35261039b307bf8c4d5899f50b,True,True,False,60.0,308,308,500,500,500:500,h264,5.13
L (14).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (14).mp4,.mp4,1544479,9d14e697c95392745ae06477fd1238619c3852f1c5ce5524d91279cc57d77f51,True,True,False,29.92,223,223,500,500,500:500,h264,7.45
L (15).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (15).mp4,.mp4,655630,bc27cfcffe16637d57533c2e17c212856b1e48b931cac4d0fc418705461ff7ce,True,True,False,29.97,134,134,500,500,500:500,h264,4.47
L (16).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (16).mp4,.mp4,1989371,d90e9b588b88f32dfa521941c72ec8b4f333bb8b2c807f690795eccb67cdd0d1,True,True,False,59.94,395,395,500,500,500:500,h264,6.59
L (17).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (17).mp4,.mp4,1065567,f3c4531375c6cdd4a7d74e0824022c68ac79164b4405af88a1d7c5bf2842bcea,True,True,False,30.0,125,125,500,500,500:500,h264,4.17
L (18).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (18).mp4,.mp4,508170,ed8c180936463335ec11da543a48dda10a08c1f25bc80004b2775068baa576fd,True,True,False,29.97,150,150,500,500,500:500,h264,5.0
L (19).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (19).mp4,.mp4,658499,3aab0d99152cbbd54c1733108cd93f3329826c61f1b05bcc576774ccad2a7daf,True,True,False,29.92,108,108,500,500,500:500,h264,3.61
L (2).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (2).mp4,.mp4,1147139,39a619f60f47e5fa940f546d1209fc7f85c1367defd9874f3aa412a616100d9a,True,True,False,60.0,390,390,500,500,500:500,h264,6.5
L (20).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (20).mp4,.mp4,680629,6398f1b8ad1bdc897c259c14cd7b3d58f5d56529b97a3b7031bd771d27667975,True,True,False,30.0,177,177,500,500,500:500,h264,5.9
L (21).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (21).mp4,.mp4,1291919,84ea53e9afed2b0224cffe97ed43ca09d53b455ed32a20378967c2fb1e2b8c49,True,True,False,60.0,302,302,500,500,500:500,h264,5.03
L (22).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (22).mp4,.mp4,2915020,c22e3089fecd0527f074e30c4c01e1f963878ac45dfe3c97c5af8003daf8b24e,True,True,False,30.0,260,260,500,500,500:500,h264,8.67
L (23).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (23).mp4,.mp4,521667,108479dd77fe35fea008d8e5a9b2164994178c107b63cb01d767b953c2e2b01b,True,True,False,30.0,141,141,500,500,500:500,h264,4.7
L (24).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (24).mp4,.mp4,1387261,a107e5a03b6776ca605f1de44a151743ffe2284f0affd7115bc390787c574ff4,True,True,False,29.5,193,193,500,500,500:500,h264,6.54
L (25).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (25).mp4,.mp4,1407493,088b526b764e131d2dec4fd1cb029d765c45eaa2f5cb9a9fa114f723eef39b66,True,True,False,59.94,334,334,500,500,500:500,h264,5.57
L (3).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (3).mp4,.mp4,944153,f8db9e83117b9c1f2d4ef0dac530fd9b32c787f9cbd5d8327e893c55508d1a8a,True,True,False,30.0,138,138,500,500,500:500,h264,4.6
L (4).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (4).mp4,.mp4,875668,5ca66e4912c87aacd4b212b02fd097f7f9d8c98be382828070a669d13629fb6b,True,True,False,29.5,167,167,500,500,500:500,h264,5.66
L (5).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (5).mp4,.mp4,1478040,69ecbcfd2285f1e6a6a971194e123ee4707d756578e4aeeae923fdfec87c8443,True,True,False,60.0,366,366,500,500,500:500,h264,6.1
L (6).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (6).mp4,.mp4,715898,1d435c64c11c2b704337725e0f1cb08ebbd775e3162f2be8f10959742070d1a6,True,True,False,30.0,213,213,500,500,500:500,h264,7.1
L (7).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (7).mp4,.mp4,1707887,946b5fd38b08b13c059252d917a2e618bd16f969beb738c4259c73c5fafa5342,True,True,False,60.0,341,341,500,500,500:500,h264,5.68
L (8).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (8).mp4,.mp4,684334,b69f1ab8d08188483fbc4d2c889d7c34b4fd6b5270d30e4c8062180c5c0024b6,True,True,False,29.97,180,180,500,500,500:500,h264,6.01
L (9).mp4,LAME,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Lame\L (9).mp4,.mp4,1099556,4a7ee603b5878ace33cda55745aa726d591d986af510bdf89601425fad2c41b3,True,True,False,30.0,228,228,500,500,500:500,h264,7.6
N (1).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (1).mp4,.mp4,976238,5a4b115be6fd1520f2abb12de328642c1ee38d32002411a920d6261bb4d94855,True,True,False,60.0,146,146,500,500,500:500,h264,2.43
N (10).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (10).mp4,.mp4,967967,c0d70b5de73cdf77fe5ef6f691f0c3158aa867b6c8be68a8435f2ecc312ccb91,True,True,False,30.0,191,191,500,500,500:500,h264,6.37
N (11).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (11).mp4,.mp4,712595,d7dbcd7cd47a6496f940afa18bc14052984352b22e3840a600e37e69c56d5fdf,True,True,False,25.0,127,127,500,500,500:500,h264,5.08
N (12).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (12).mp4,.mp4,1045890,7c0781771d30c3315c1a3c6c36d6e39574d2406c9c1a30b1faf53866ad8c4777,True,True,False,29.17,148,148,500,500,500:500,h264,5.07
N (13).mp4,NORMAL,C:\Users\Lenovo\Downloads\CattleLameness-main\CattleLameness-main\Data\Normal\N (13).mp4,.mp4,676102,956ff1183b0649a02053fc48dde175de3e544a3fb73470bb6560aff5e7501f41,True,True,False,29.58,132,132,500,500,500:500,h264,4.46
